wage_diff_interval,total_count,accept_count,acceptance_ratio_per_interval
"[-1.0, -0.9)",0,,
"[-0.9, -0.8)",18,7.0,0.3888888888888889
"[-0.8, -0.7)",23,11.0,0.4782608695652174
"[-0.7, -0.6)",41,20.0,0.4878048780487805
"[-0.6, -0.5)",61,29.0,0.47540983606557374
"[-0.5, -0.4)",81,36.0,0.4444444444444444
"[-0.4, -0.3)",72,36.0,0.5
"[-0.3, -0.2)",109,50.0,0.45871559633027525
"[-0.2, -0.1)",141,81.0,0.574468085106383
"[-0.1, 0.0)",124,81.0,0.6532258064516129
"[0.0, 0.1)",393,317.0,0.806615776081425
"[0.1, 0.2)",115,82.0,0.7130434782608696
"[0.2, 0.3)",99,67.0,0.6767676767676768
"[0.3, 0.4)",58,36.0,0.6206896551724138
"[0.4, 0.5)",46,38.0,0.8260869565217391
"[0.5, 0.6)",11,7.0,0.6363636363636364
"[0.6, 0.7)",15,11.0,0.7333333333333333
"[0.7, 0.8)",0,,
"[0.8, 0.9)",0,,
"[0.9, 1.0)",0,,
